,,,,,,,,,,,,,"January 19, 2017",,,,,,,,,
,Table 8. Gross Output by Industry Group,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Line,,Billions of dollars,,,,,,,,,,,,,,,,,,,,
,,2014,2015,Seasonally adjusted at annual rates,,,,,,,,,,,,,,,,,,
,,,,2014,,,,2015,,,,2016,,,,,,,,,,
,,,,I,II,III,IV,I,II,III,IV,I,II,III,,,,,,,,
1,All industries………………………………………………………………………………………………………………………………,"30,895.4","31,397.0","30,335.0","30,799.0","31,145.0","31,302.6","31,054.3","31,410.5","31,591.7","31,531.6","31,630.3","31,978.2","32,350.7",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
2,Private industries………………………………………………………………………………………………………………………………,"27,447.9","27,877.3","26,916.9","27,366.9","27,673.7","27,834.0","27,573.8","27,895.3","28,056.4","27,983.8","28,078.0","28,392.9","28,729.9",,,,,,,,
3,"Agriculture, forestry, fishing, and hunting………………………………………………………………………………………………………………………………",492.0,446.7,481.0,508.1,489.8,489.2,452.5,446.0,450.7,437.7,430.2,424.9,417.0,,,,,,,,
4,Mining………………………………………………………………………………………………………………………………,681.6,449.8,682.2,720.5,698.5,625.1,500.3,484.9,434.4,379.6,318.9,345.2,364.0,,,,,,,,
5,Utilities………………………………………………………………………………………………………………………………,431.0,401.8,446.4,433.5,416.9,427.4,422.4,399.5,400.9,384.5,374.1,382.3,406.3,,,,,,,,
6,Construction………………………………………………………………………………………………………………………………,"1,232.0","1,352.6","1,198.9","1,224.0","1,237.6","1,267.4","1,285.0","1,345.0","1,382.5","1,397.8","1,430.4","1,418.6","1,427.7",,,,,,,,
7,Manufacturing………………………………………………………………………………………………………………………………,"6,047.5","5,829.6","6,013.0","6,048.1","6,113.1","6,015.8","5,815.5","5,857.2","5,876.6","5,769.0","5,689.1","5,738.9","5,792.0",,,,,,,,
8,Durable goods………………………………………………………………………………………………………………………………,"2,923.2","2,972.9","2,858.1","2,885.8","2,982.1","2,966.7","2,957.2","2,979.0","2,998.9","2,956.6","2,945.6","2,942.5","2,972.4",,,,,,,,
9,Nondurable goods………………………………………………………………………………………………………………………………,"3,124.3","2,856.6","3,154.9","3,162.3","3,131.0","3,049.0","2,858.3","2,878.1","2,877.7","2,812.4","2,743.6","2,796.4","2,819.5",,,,,,,,
10,Wholesale trade………………………………………………………………………………………………………………………………,"1,553.9","1,554.3","1,515.4","1,543.2","1,572.2","1,584.8","1,565.7","1,562.1","1,551.0","1,538.2","1,510.5","1,510.6","1,525.5",,,,,,,,
11,Retail trade………………………………………………………………………………………………………………………………,"1,576.6","1,640.7","1,533.3","1,574.2","1,590.2","1,608.7","1,609.1","1,638.2","1,667.6","1,648.0","1,677.3","1,676.8","1,691.3",,,,,,,,
12,Transportation and warehousing………………………………………………………………………………………………………………………………,"1,065.7","1,074.8","1,036.0","1,060.9","1,071.5","1,094.3","1,073.7","1,073.0","1,081.2","1,071.4","1,071.9","1,066.6","1,079.2",,,,,,,,
13,Information………………………………………………………………………………………………………………………………,"1,490.6","1,549.7","1,471.2","1,480.2","1,499.2","1,512.0","1,523.3","1,540.0","1,554.2","1,581.2","1,604.4","1,593.4","1,625.5",,,,,,,,
14,"Finance, insurance, real estate, rental, and leasing………………………………………………………………………………………………………………………………","5,339.7","5,597.0","5,215.5","5,310.0","5,383.7","5,449.5","5,518.1","5,597.1","5,614.6","5,658.3","5,713.9","5,824.3","5,899.6",,,,,,,,
15,Finance and insurance………………………………………………………………………………………………………………………………,"2,188.1","2,277.7","2,138.3","2,185.9","2,205.4","2,222.6","2,257.3","2,294.9","2,273.1","2,285.3","2,307.8","2,367.8","2,408.8",,,,,,,,
16,Real estate and rental and leasing………………………………………………………………………………………………………………………………,"3,151.6","3,319.3","3,077.3","3,124.1","3,178.3","3,226.9","3,260.8","3,302.2","3,341.5","3,373.0","3,406.1","3,456.5","3,490.8",,,,,,,,
17,Professional and business services………………………………………………………………………………………………………………………………,"3,317.1","3,497.7","3,234.3","3,285.1","3,339.6","3,409.3","3,424.2","3,487.5","3,530.9","3,548.0","3,599.6","3,664.8","3,713.6",,,,,,,,
18,"Professional, scientific, and technical services………………………………………………………………………………………………………………………………","1,881.3","1,962.8","1,828.9","1,868.3","1,902.9","1,925.0","1,922.6","1,953.9","1,983.5","1,991.3","2,042.0","2,065.3","2,083.9",,,,,,,,
19,Management of companies and enterprises………………………………………………………………………………………………………………………………,596.1,630.7,585.7,584.7,599.8,614.0,623.3,631.1,630.4,638.2,630.0,650.2,660.0,,,,,,,,
20,Administrative and waste management services………………………………………………………………………………………………………………………………,839.7,904.1,819.7,832.1,836.9,870.3,878.3,902.6,917.0,918.5,927.6,949.3,969.7,,,,,,,,
21,"Educational services, health care, and social assistance………………………………………………………………………………………………………………………………","2,390.4","2,535.6","2,317.7","2,367.5","2,411.2","2,465.2","2,482.6","2,520.9","2,556.5","2,582.6","2,634.4","2,701.9","2,700.6",,,,,,,,
22,Educational services………………………………………………………………………………………………………………………………,317.9,329.0,313.4,316.7,319.2,322.3,324.2,327.7,329.8,334.1,336.3,341.2,342.4,,,,,,,,
23,Health care and social assistance………………………………………………………………………………………………………………………………,"2,072.5","2,206.6","2,004.3","2,050.8","2,092.1","2,142.9","2,158.4","2,193.2","2,226.6","2,248.4","2,298.1","2,360.8","2,358.2",,,,,,,,
24,"Arts, entertainment, recreation, accommodation, and food services………………………………………………………………………………………………………………………………","1,189.6","1,283.8","1,151.5","1,178.0","1,203.0","1,226.1","1,250.4","1,280.0","1,291.4","1,313.4","1,332.3","1,346.5","1,372.0",,,,,,,,
25,"Arts, entertainment, and recreation………………………………………………………………………………………………………………………………",293.5,316.9,291.4,289.1,295.8,297.7,308.6,316.4,318.4,324.4,328.9,332.4,344.7,,,,,,,,
26,Accommodation and food services………………………………………………………………………………………………………………………………,896.1,966.9,860.2,888.8,907.2,928.4,941.8,963.6,973.0,989.1,"1,003.4","1,014.1","1,027.3",,,,,,,,
27,"Other services, except government………………………………………………………………………………………………………………………………",640.2,663.3,620.5,633.8,647.2,659.4,651.0,663.9,664.0,674.1,690.8,697.9,715.6,,,,,,,,
28,Government………………………………………………………………………………………………………………………………,"3,447.5","3,519.7","3,418.1","3,432.2","3,471.3","3,468.6","3,480.5","3,515.2","3,535.3","3,547.8","3,552.4","3,585.4","3,620.8",,,,,,,,
29,Federal………………………………………………………………………………………………………………………………,"1,096.7","1,104.5","1,094.9","1,091.6","1,109.1","1,091.0","1,100.2","1,104.1","1,105.2","1,108.3","1,110.6","1,120.1","1,129.5",,,,,,,,
30,State and local………………………………………………………………………………………………………………………………,"2,350.9","2,415.2","2,323.2","2,340.6","2,362.2","2,377.6","2,380.3","2,411.0","2,430.1","2,439.5","2,441.8","2,465.2","2,491.3",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Addenda:,,,,,,,,,,,,,,,,,,,,,
31,Private goods-producing industries1………………………………………………………………………………………………………………………………,"8,453.0","8,078.6","8,375.1","8,500.6","8,539.0","8,397.5","8,053.2","8,133.0","8,144.2","7,984.0","7,868.7","7,927.6","8,000.7",,,,,,,,
32,Private services-producing industries2………………………………………………………………………………………………………………………………,"18,994.8","19,798.7","18,541.8","18,866.3","19,134.7","19,436.5","19,520.5","19,762.3","19,912.3","19,999.8","20,209.3","20,465.2","20,729.2",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"1.  Consists of agriculture, forestry, fishing, and hunting; mining; construction; and manufacturing.",,,,,,,,,,,,,,,,,,,,,,
"2.  Consists of utilities; wholesale trade; retail trade; transportation and warehousing; information; finance, insurance, real estate, rental, and leasing; professional and business services; educational services, health care, and social assistance; arts, entertainment, recreation, accommodation, and food services; and other services, except government.",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Source:  U.S. Bureau of Economic Analysis,,,,,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,,,
